state.lastseen,missing.date,tattoo,scar,color.eyes,color.hair,weight.from,weight.to,height.from,height.to,gender,race,age.from,age.to,id
California,1988-08-04,TRUE,TRUE,brown,black,61.222500000000004,61.222500000000004,172.72,172.72,male,asian,26,26,377D
Iowa,1973-02-03,FALSE,FALSE,hazel,brown,36.28,36.28,134.62,134.62,male,white,11,11,378D
Illinois,1997-05-26,TRUE,FALSE,green,blonde,52.1525,52.1525,167.64000000000001,167.64000000000001,female,white,19,19,379D
Oklahoma,1994-03-07,FALSE,FALSE,brown,brown,15.8725,15.8725,60.96,60.96,female,biracial,1,1,380D
Louisiana,1990-12-23,FALSE,FALSE,blue,black,86.165,90.7,172.72,172.72,male,white,21,21,381D
California,1990-07-15,FALSE,FALSE,brown,black,61.222500000000004,61.222500000000004,172.72,172.72,male,hispanic,20,20,382D
Illinois,1996-11-26,FALSE,FALSE,brown,brown,74.8275,74.8275,154.94,154.94,male,white,46,46,383D
Texas,2014-10-17,TRUE,TRUE,brown,brown,81.63,81.63,175.26,175.26,male,white,30,30,384D
Massachusetts,1996-09-28,FALSE,TRUE,brown,brown,27.21,27.21,137.16,137.16,male,hispanic,6,6,385D
Arkansas,1978-10-01,FALSE,FALSE,brown,brown,61.222500000000004,61.222500000000004,185.42,187.96,male,white,16,16,386D
Alabama,1997-08-15,FALSE,FALSE,brown,brown,58.955,58.955,162.56,162.56,female,white,17,17,387D
Georgia,2003-08-28,TRUE,FALSE,brown,brown,56.6875,56.6875,167.64000000000001,167.64000000000001,female,black,32,32,388D
Florida,1987-02-13,TRUE,FALSE,blue,brown,68.025,68.025,170.18,170.18,male,white,48,48,389D
California,1986-07-20,TRUE,FALSE,hazel,brown,77.095,86.165,182.88,182.88,male,white,23,23,390D
California,2002-01-07,FALSE,TRUE,brown,brown,79.3625,79.3625,172.72,172.72,male,white,33,33,391D
Pennsylvania,1974-09-27,FALSE,FALSE,green,brown,47.164,51.699,152.4,162.56,female,white,29,29,392D
Pennsylvania,1985-11-11,FALSE,TRUE,brown,red,81.63,81.63,175.26,175.26,male,white,64,64,393D
Pennsylvania,2003-07-14,FALSE,FALSE,blue,sandy,104.305,104.305,172.72,172.72,male,white,59,59,394D
